Symbol,Month,DeliveryPct,TotalDelivQty,TotalTrdQty,Days
CCCL,2026-04,64.13,6567073,10240957,23
CCCL,2026-05,65.48,2927396,4470525,18
CCHHL,2026-03,80.49,245596,305142,2
CCHHL,2026-04,82.66,763614,923825,23
CCHHL,2026-05,66.95,250804,374632,18
CCL,2026-03,64.55,365860,566822,2
CCL,2026-04,44.76,3058054,6832803,23
CCL,2026-05,44.55,2322916,5214383,18
CDSL,2026-03,41.44,2445736,5901546,2
CDSL,2026-04,33.23,17009614,51195148,23
CDSL,2026-05,40.57,16542072,40776243,18
CEATLTD,2026-03,47.66,115298,241938,2
CEATLTD,2026-04,28.27,1441153,5097579,23
CEATLTD,2026-05,49.16,1582338,3218904,18
CEIGALL,2026-03,45.48,255380,561470,2
CEIGALL,2026-04,51.45,4106140,7980165,23
CEIGALL,2026-05,35.46,6224803,17552554,18
CEINSYS,2026-03,66.96,455210,679836,2
CEINSYS,2026-04,42.56,794907,1867926,23
CEINSYS,2026-05,44.42,907273,2042534,18
CELEBRITY,2026-03,70.04,129472,184850,2
CELEBRITY,2026-04,72.9,599887,822941,23
CELEBRITY,2026-05,68.88,323879,470210,18
CELLO,2026-03,49.77,303344,609544,2
CELLO,2026-04,66.81,6332098,9477745,23
CELLO,2026-05,61.38,1982540,3230138,18
CEMPRO,2026-03,49.56,472518,953366,2
CEMPRO,2026-04,16.96,8034314,47374103,23
CEMPRO,2026-05,14.37,6770328,47130354,18
CENTENKA,2026-03,61.7,37476,60740,2
CENTENKA,2026-04,62.53,241503,386250,23
CENTENKA,2026-05,29.03,727286,2505411,18
CENTEXT,2026-03,61.29,380478,620752,2
CENTEXT,2026-04,58.96,1676038,2842833,23
CENTEXT,2026-05,55.04,1121477,2037654,18
CENTRALBK,2026-03,48.3,10282978,21289808,2
CENTRALBK,2026-04,39.39,49104639,124666114,23
CENTRALBK,2026-05,56.18,148964342,265168466,18
CENTRUM,2026-03,31.7,533404,1682910,2
CENTRUM,2026-04,58.69,5594241,9531827,23
CENTRUM,2026-05,66.21,3404553,5142163,18
CENTUM,2026-03,21.45,27364,127570,2
CENTUM,2026-04,43.03,655687,1523787,23
CENTUM,2026-05,45.02,737717,1638798,18
CENTURYPLY,2026-03,60.21,91750,152390,2
CENTURYPLY,2026-04,45.75,637910,1394314,23
CENTURYPLY,2026-05,53.01,1506695,2842146,18
CERA,2026-03,53.6,24558,45820,2
CERA,2026-04,45.69,151683,331966,23
CERA,2026-05,35.3,166165,470699,18
CESC,2026-03,50.04,1453096,2904134,2
CESC,2026-04,40.82,29038995,71137499,23
CESC,2026-05,38.77,36412316,93930483,18
CEWATER,2026-03,57.19,100752,176164,2
CEWATER,2026-04,41.76,616044,1475109,23
CEWATER,2026-05,44.06,372371,845087,18
CGCL,2026-03,55.08,2183418,3963844,2
CGCL,2026-04,30.46,11434262,37536045,23
CGCL,2026-05,44.94,28239767,62843824,18
CGPOWER,2026-03,26.1,2521272,9659644,2
CGPOWER,2026-04,45.71,31934929,69860084,23
CGPOWER,2026-05,37.26,29478659,79113093,18
CHALET,2026-03,66.95,347496,519012,2
CHALET,2026-04,56.6,1295771,2289240,23
CHALET,2026-05,53.48,1404403,2625898,18
CHAMBLFERT,2026-03,44.89,1276356,2843516,2
CHAMBLFERT,2026-04,44.56,6687753,15007814,23
CHAMBLFERT,2026-05,31.99,8068736,25226449,18
CHEMBOND,2026-03,66.25,39382,59442,2
CHEMBOND,2026-04,48.53,144952,298680,23
CHEMBOND,2026-05,49.22,152948,310738,6
CHEMBONDCH,2026-03,72.37,67858,93764,2
CHEMBONDCH,2026-04,62.99,267525,424737,23
CHEMBONDCH,2026-05,57.27,222300,388150,6
CHEMCON,2026-03,62.23,135928,218440,2
CHEMCON,2026-04,47.23,382214,809250,23
CHEMCON,2026-05,43.6,856330,1964251,18
CHEMFAB,2026-03,57.09,36890,64622,2
CHEMFAB,2026-04,35.54,86607,243714,23
CHEMFAB,2026-05,36.86,74561,202285,9
CHEMICAL,2026-03,65.81,753584,1145044,2
CHEMICAL,2026-04,66.32,3596586,5423328,23
CHEMICAL,2026-05,84.8,17852361,21052587,18
CHEMPLASTS,2026-03,48.12,196788,408922,2
CHEMPLASTS,2026-04,47.05,3220860,6846070,23
CHEMPLASTS,2026-05,45.65,2952501,6467912,18
CHENNPETRO,2026-03,10.61,831110,7832734,2
CHENNPETRO,2026-04,26.14,18864702,72174622,23
CHENNPETRO,2026-05,29.3,4783429,16326655,18
CHEVIOT,2026-03,75.75,5984,7900,2
CHEVIOT,2026-04,68.91,44890,65143,23
CHEVIOT,2026-05,61.66,76978,124835,18
CHOICEGOLD,2026-03,40.05,33082,82606,2
CHOICEGOLD,2026-04,42.86,152352,355475,23
CHOICEGOLD,2026-05,66.55,246713,370694,18
CHOICEIN,2026-03,34.79,480326,1380514,2
CHOICEIN,2026-04,26.72,4670007,17479327,23
CHOICEIN,2026-05,32.1,3222624,10039186,18
CHOLAFIN,2026-03,54.84,4068976,7420038,2
CHOLAFIN,2026-04,56.54,32766131,57953464,23
CHOLAFIN,2026-05,56.44,16697147,29585201,18
CHOLAHLDNG,2026-03,54.16,242424,447636,2
CHOLAHLDNG,2026-04,30.71,2939418,9572320,23
CHOLAHLDNG,2026-05,27.33,1404952,5139994,18
CIEINDIA,2026-03,61.08,348050,569824,2
CIEINDIA,2026-04,44.99,7641831,16987442,23
CIEINDIA,2026-05,55.6,5017114,9022949,18
CIFL,2026-03,77.72,536132,689856,2
CIFL,2026-04,37.09,3896334,10504581,23
CIFL,2026-05,51.59,1779714,3449649,18
CIGNITITEC,2026-03,74.25,293336,395046,2
CIGNITITEC,2026-04,41.35,442854,1071013,23
CIGNITITEC,2026-05,22.27,570598,2562388,9
CINELINE,2026-03,62.81,57000,90754,2
CINELINE,2026-04,58.67,221415,377376,23
CINELINE,2026-05,67.27,242257,360115,18
CINEVISTA,2026-03,71.18,119770,168252,2
CINEVISTA,2026-04,65.3,475119,727581,23
CINEVISTA,2026-05,71.39,371641,520546,18
CIPLA,2026-03,50.62,2114916,4178260,2
CIPLA,2026-04,57.59,28091637,48782522,23
CIPLA,2026-05,42.0,14676267,34946311,18
CLEAN,2026-03,53.43,332868,623018,2
CLEAN,2026-04,22.52,3414840,15163064,23
CLEAN,2026-05,40.52,2354700,5810806,18
CLEANMAX,2026-03,56.75,1079568,1902262,2
CLEANMAX,2026-04,49.99,3352481,6706759,23
CLEANMAX,2026-05,55.74,2829322,5075736,18
CLEDUCATE,2026-05,68.9,156058,226487,7
CLSEL,2026-03,66.64,198768,298268,2
CLSEL,2026-04,27.36,975065,3564075,23
CLSEL,2026-05,31.13,859216,2760310,18
CMPDI,2026-03,28.79,5576944,19371376,2
CMPDI,2026-04,47.83,40560342,84802617,23
CMPDI,2026-05,30.65,50569530,165012337,18
CMSINFO,2026-03,51.4,1618664,3149418,2
CMSINFO,2026-04,59.05,6570602,11126873,23
CMSINFO,2026-05,46.57,6360488,13656455,18
CNL,2026-03,51.41,6468,12582,2
CNL,2026-04,64.29,123721,192433,23
CNL,2026-05,59.84,175504,293272,18
COALINDIA,2026-03,44.0,16821730,38229376,2
COALINDIA,2026-04,45.25,141788636,313313354,23
COALINDIA,2026-05,42.65,121723890,285410764,18
COASTCORP,2026-03,68.56,304628,444328,2
COASTCORP,2026-04,53.28,1922911,3609311,23
COASTCORP,2026-05,49.96,1763084,3528748,18
COCHINSHIP,2026-03,41.93,2062418,4918486,2
COCHINSHIP,2026-04,19.73,13473094,68282191,23
COCHINSHIP,2026-05,26.55,8081365,30436215,18
COCKERILL,2026-04,66.31,10304,15539,10
COCKERILL,2026-05,40.91,93816,229348,18
COFFEEDAY,2026-03,59.85,2360586,3944466,2
COFFEEDAY,2026-04,47.86,17238126,36021212,23
COFFEEDAY,2026-05,23.35,13718637,58764246,18
COFORGE,2026-03,38.72,1214668,3137334,2
COFORGE,2026-04,39.59,28132088,71067506,23
COFORGE,2026-05,36.98,33793830,91375905,18
COHANCE,2026-03,48.9,674766,1379926,2
COHANCE,2026-04,15.15,27589157,182147722,23
COHANCE,2026-05,20.06,11075287,55205772,18
COLPAL,2026-03,41.1,746004,1815088,2
COLPAL,2026-04,43.41,4980117,11472921,23
COLPAL,2026-05,43.87,3132669,7141483,18
COMFINTE,2026-04,76.18,1348332,1770026,10
COMFINTE,2026-05,51.79,8168976,15774483,18
COMMOIETF,2026-03,43.18,107992,250112,2
COMMOIETF,2026-04,67.83,1972458,2908004,23
COMMOIETF,2026-05,50.64,1002627,1980088,18
COMPUSOFT,2026-03,71.11,109166,153518,2
COMPUSOFT,2026-04,71.05,650228,915159,23
COMPUSOFT,2026-05,72.01,301571,418778,18
COMSYN,2026-03,75.01,94456,125920,2
COMSYN,2026-04,53.42,341535,639347,23
COMSYN,2026-05,47.99,551266,1148615,18
CONCOR,2026-03,56.81,3465882,6100852,2
CONCOR,2026-04,47.74,15366931,32188623,23
CONCOR,2026-05,43.81,14044305,32058294,18
CONCORDBIO,2026-03,45.38,280954,619124,2
CONCORDBIO,2026-04,49.75,3784536,7606698,23
CONCORDBIO,2026-05,45.27,1254212,2770252,18
CONFIPET,2026-03,31.52,1914020,6073158,2
CONFIPET,2026-04,22.33,48069620,215280592,23
CONFIPET,2026-05,40.89,23679912,57914313,18
CONS,2026-03,88.19,138210,156726,2
CONS,2026-04,52.9,946639,1789410,23
CONS,2026-05,74.65,461162,617781,18
CONSOFINVT,2026-05,66.9,37498,56049,7
CONSUMBEES,2026-03,65.77,514202,781872,2
CONSUMBEES,2026-04,55.42,1604945,2896177,23
CONSUMBEES,2026-05,58.38,935429,1602238,18
CONSUMER,2026-03,63.08,553912,878176,2
CONSUMER,2026-04,69.93,4459099,6376967,23
CONSUMER,2026-05,73.22,2123280,2899815,18
CONSUMIETF,2026-03,56.68,35540,62700,2
CONSUMIETF,2026-04,57.05,397574,696862,23
CONSUMIETF,2026-05,61.74,166254,269287,18
CONTROLPR,2026-03,62.18,122934,197720,2
CONTROLPR,2026-04,50.19,323573,644724,23
CONTROLPR,2026-05,50.47,256601,508415,18
CORALFINAC,2026-03,79.3,74218,93594,2
CORALFINAC,2026-04,69.2,198714,287156,23
CORALFINAC,2026-05,61.67,141397,229268,18
CORDSCABLE,2026-03,66.42,89490,134738,2
CORDSCABLE,2026-04,48.4,421997,871895,23
CORDSCABLE,2026-05,39.19,1464728,3737756,18
COROMANDEL,2026-03,48.0,490686,1022202,2
COROMANDEL,2026-04,56.76,5163463,9097695,23
COROMANDEL,2026-05,55.77,4455883,7990101,18
CORONA,2026-03,70.8,47780,67482,2
CORONA,2026-04,43.85,305326,696285,23
CORONA,2026-05,41.84,361356,863750,18
COSMOFIRST,2026-03,56.94,187596,329474,2
COSMOFIRST,2026-04,48.95,852388,1741288,23
COSMOFIRST,2026-05,42.57,1364470,3205140,18
COUNCODOS,2026-03,75.64,68340,90354,2
COUNCODOS,2026-04,64.1,990760,1545609,23
COUNCODOS,2026-05,72.45,361723,499301,18
CPCAP,2026-03,58.39,36484,62488,2
CPCAP,2026-04,65.19,295855,453841,23
CPCAP,2026-05,85.49,69044,80764,3
CPEDU,2026-03,61.7,16682,27038,2
CPEDU,2026-04,73.97,113927,154018,23
CPEDU,2026-05,79.58,103703,130321,18
CPPLUS,2026-03,37.15,221166,595254,2
CPPLUS,2026-04,38.47,4213573,10952986,23
CPPLUS,2026-05,35.47,1988430,5606461,18
CPSEETF,2026-03,48.39,1741050,3597692,2
CPSEETF,2026-04,56.09,23849495,42519135,23
CPSEETF,2026-05,57.2,14696894,25691932,18
CRAFTSMAN,2026-03,47.75,40510,84842,2
CRAFTSMAN,2026-04,43.85,304287,693913,23
CRAFTSMAN,2026-05,15.54,825589,5313378,18
CRAMC,2026-03,53.58,744368,1389342,2
CRAMC,2026-04,47.43,6601112,13916575,23
CRAMC,2026-05,60.11,4692670,7807340,18
CREATIVEYE,2026-03,98.81,74034,74924,2
CREATIVEYE,2026-04,79.09,477093,603192,23
CREATIVEYE,2026-05,69.39,166996,240670,18
CREDITACC,2026-03,50.99,292746,574162,2
CREDITACC,2026-04,39.06,3927475,10055741,23
CREDITACC,2026-05,19.55,3978552,20347690,18
CREST,2026-03,70.14,58780,83800,2
CREST,2026-04,91.83,602551,656161,23
CREST,2026-05,72.09,171857,238389,18
CRISIL,2026-03,60.89,123352,202588,2
CRISIL,2026-04,54.65,1230916,2252560,23
CRISIL,2026-05,65.72,675375,1027612,18
CRIZAC,2026-03,58.24,662906,1138152,2
CRIZAC,2026-04,48.21,1851753,3841216,23
CRIZAC,2026-05,40.23,2845899,7074472,18
CROMPTON,2026-03,52.7,4658402,8839332,2
CROMPTON,2026-04,43.77,47142076,107701944,23
CROMPTON,2026-05,39.65,37696502,95071219,18
CROWN,2026-03,65.79,109032,165730,2
CROWN,2026-04,50.18,170606,339960,23
CROWN,2026-05,41.4,266389,643520,18
CSBBANK,2026-03,42.36,643540,1519204,2
CSBBANK,2026-04,46.58,5526583,11864267,23
CSBBANK,2026-05,41.32,5979732,14471298,18
CSLFINANCE,2026-03,59.09,61760,104520,2
CSLFINANCE,2026-04,65.31,972339,1488796,23
CSLFINANCE,2026-05,67.88,309832,456458,18
CTE,2026-03,60.6,94296,155598,2
CTE,2026-04,57.06,292235,512123,12
CTE,2026-05,70.4,53293,75701,7
CUB,2026-03,43.93,2965490,6750672,2
CUB,2026-04,49.52,42412743,85647302,23
CUB,2026-05,52.56,19267654,36657640,18
CUBEXTUB,2026-03,56.79,184970,325702,2
CUBEXTUB,2026-04,45.1,1217291,2698914,23
CUBEXTUB,2026-05,36.05,1620185,4494135,18
CUMMINSIND,2026-03,55.68,1393982,2503360,2
CUMMINSIND,2026-04,54.92,8405914,15306882,23
CUMMINSIND,2026-05,47.29,3885973,8216935,18
CUPID,2026-03,53.14,21415344,40299424,2
CUPID,2026-04,36.36,148058041,407201482,23
CUPID,2026-05,35.6,109774580,308381865,18
CYBERMEDIA,2026-03,83.45,15722,18840,2
CYBERMEDIA,2026-04,55.13,494104,896184,23
CYBERMEDIA,2026-05,54.12,355375,656675,8
CYBERTECH,2026-03,62.66,98266,156822,2
CYBERTECH,2026-04,45.78,805644,1759948,23
CYBERTECH,2026-05,41.82,1099142,2628329,18
CYIENT,2026-03,46.2,353746,765670,2
CYIENT,2026-04,40.39,5287172,13091813,23
CYIENT,2026-05,45.6,2483642,5446517,18
CYIENTDLM,2026-03,49.59,855540,1725310,2
CYIENTDLM,2026-04,37.18,5736638,15429862,23
CYIENTDLM,2026-05,47.85,2138070,4468454,18
DABUR,2026-03,48.02,2405182,5008890,2
DABUR,2026-04,48.11,21199979,44061228,23
DABUR,2026-05,38.79,15938046,41089779,18
DAICHI,2026-04,86.65,10843,12513,10
DAICHI,2026-05,84.05,74660,88830,18
DALBHARAT,2026-03,41.74,242158,580132,2
DALBHARAT,2026-04,44.42,2729225,6143683,23
DALBHARAT,2026-05,49.78,4125990,8287790,18
DALMIASUG,2026-03,4.3,2668808,62124750,2
DALMIASUG,2026-04,13.8,3844376,27848632,23
DALMIASUG,2026-05,40.1,1373170,3424240,18
DAMCAPITAL,2026-03,49.29,688966,1397678,2
DAMCAPITAL,2026-04,37.49,5979844,15951533,23
DAMCAPITAL,2026-05,25.93,5111352,19710570,18
DAMODARIND,2026-03,89.49,173878,194290,2
DAMODARIND,2026-04,59.25,249363,420875,23
DAMODARIND,2026-05,65.57,141717,216128,18
DANGEE,2026-03,81.43,198456,243728,2
DANGEE,2026-04,55.02,4962108,9017956,23
DANGEE,2026-05,66.47,1070502,1610587,18
DATAMATICS,2026-03,50.61,108660,214698,2
DATAMATICS,2026-04,38.06,828751,2177318,23
DATAMATICS,2026-05,35.18,1030507,2928979,18
DATAPATTNS,2026-03,21.48,376104,1750610,2
DATAPATTNS,2026-04,18.55,6178750,33308535,23
DATAPATTNS,2026-05,22.29,4314479,19354543,18
DAVANGERE,2026-03,58.53,6834654,11677218,2
DAVANGERE,2026-04,58.57,137209617,234275482,23
DAVANGERE,2026-05,62.99,292755321,464782744,18
DBCORP,2026-03,66.34,145110,218744,2
DBCORP,2026-04,58.91,1509837,2563078,23
DBCORP,2026-05,21.97,870662,3962457,18
DBEIL,2026-03,31.46,313650,997124,2
DBEIL,2026-04,49.32,1205619,2444523,23
DBEIL,2026-05,45.03,463878,1030176,18
DBL,2026-03,23.31,372646,1598794,2
DBL,2026-04,36.84,1317645,3576976,23
DBL,2026-05,45.84,1029771,2246588,18
DBOL,2026-03,13.89,1010528,7275824,2
DBOL,2026-04,25.59,1619227,6327205,11
DBREALTY,2026-03,58.98,4790378,8122534,2
DBREALTY,2026-04,40.76,19282682,47309000,23
DBREALTY,2026-05,30.66,21851655,71278184,11
DBSTOCKBRO,2026-03,96.75,28188,29134,2
DBSTOCKBRO,2026-04,68.15,95800,140566,23
DBSTOCKBRO,2026-05,76.17,243904,320213,18
DCAL,2026-03,52.04,1122728,2157336,2
DCAL,2026-04,44.21,4232561,9573370,23
DCAL,2026-05,21.27,4036340,18978401,18
DCBBANK,2026-03,50.82,1936330,3810256,2
DCBBANK,2026-04,46.01,18708623,40658306,23
DCBBANK,2026-05,49.5,12808980,25874617,18
DCI,2026-03,65.32,35554,54428,2
DCI,2026-04,28.35,315555,1113211,6
DCM,2026-03,63.62,14248,22396,2
DCM,2026-04,58.47,181456,310349,23
DCM,2026-05,66.53,182294,274008,18
DCMNVL,2026-03,68.11,36406,53452,2
DCMNVL,2026-04,70.55,146837,208135,23
DCMNVL,2026-05,66.45,195364,293991,11
DCMSHRIRAM,2026-03,51.74,106892,206594,2
DCMSHRIRAM,2026-04,31.08,686629,2209019,23
DCMSHRIRAM,2026-05,42.99,661609,1538898,18
DCMSRIND,2026-03,52.99,369592,697456,2
DCMSRIND,2026-04,53.19,2501381,4703020,23
DCMSRIND,2026-05,54.47,1918679,3522621,18
DCW,2026-03,41.59,1341804,3226458,2
DCW,2026-04,38.26,17240157,45057553,23
DCW,2026-05,32.49,12761302,39274778,18
DCXINDIA,2026-03,31.29,1290090,4122642,2
DCXINDIA,2026-04,28.52,9519857,33375664,23
DCXINDIA,2026-05,35.02,9056654,25864106,18
DDEVPLSTIK,2026-03,58.69,403654,687742,2
DDEVPLSTIK,2026-04,52.2,1834122,3513377,23
DDEVPLSTIK,2026-05,49.27,1243850,2524346,18
DECCANCE,2026-03,51.46,59798,116200,2
DECCANCE,2026-04,61.22,291140,475542,23
DECCANCE,2026-05,61.22,233691,381701,18
DECNGOLD,2026-04,45.03,3862976,8579162,10
DECNGOLD,2026-05,37.44,14570587,38912022,18
DEEDEV,2026-03,25.16,386186,1534626,2
DEEDEV,2026-04,34.43,11160772,32420454,23
DEEDEV,2026-05,44.98,2700641,6004759,11
DEEPAKFERT,2026-03,35.79,440150,1229868,2
DEEPAKFERT,2026-04,23.98,3694379,15402942,23
DEEPAKFERT,2026-05,33.35,3082187,9240825,18
DEEPAKNTR,2026-03,48.5,282110,581664,2
DEEPAKNTR,2026-04,42.93,2385209,5555526,23
DEEPAKNTR,2026-05,48.82,2006428,4110247,18
DEEPINDS,2026-03,29.85,351552,1177916,2
DEEPINDS,2026-04,29.99,3368399,11230155,23
DEEPINDS,2026-05,41.37,2880545,6962809,18
DEFENCE,2026-03,50.2,177970,354490,2
DEFENCE,2026-04,72.3,3476096,4807718,23
DEFENCE,2026-05,74.38,3142936,4225689,18
DELHIVERY,2026-03,37.0,971834,2626646,2
DELHIVERY,2026-04,50.78,36724419,72314617,23
DELHIVERY,2026-05,46.3,24994560,53984801,18
DELPHIFX,2026-03,75.46,2914446,3862146,2
DELPHIFX,2026-04,51.27,6439730,12561085,23
DELPHIFX,2026-05,69.19,2687317,3884139,18
DELTACORP,2026-03,45.98,4438536,9653142,2
DELTACORP,2026-04,20.25,30062833,148455542,23
DELTACORP,2026-05,19.38,21427050,110570519,18
DELTAMAGNT,2026-03,69.6,15080,21666,2
DELTAMAGNT,2026-04,69.27,74710,107854,23
DELTAMAGNT,2026-05,73.15,46122,63054,18
DEN,2026-03,56.03,1167312,2083544,2
DEN,2026-04,47.46,8046888,16954799,23
DEN,2026-05,44.86,3806976,8486357,18
DENORA,2026-03,76.33,15458,20252,2
DENORA,2026-04,62.29,115462,185352,23
DENORA,2026-05,52.77,77067,146055,18
DENTA,2026-03,49.21,206054,418732,2
DENTA,2026-04,30.33,1953663,6441716,23
DENTA,2026-05,39.52,1301767,3293597,18
DEVIT,2026-03,66.66,184464,276726,2
DEVIT,2026-04,41.35,1186441,2869478,23
DEVIT,2026-05,51.27,544365,1061686,18
DEVX,2026-03,66.73,670940,1005440,2
DEVX,2026-04,63.87,1679566,2629762,23
DEVX,2026-05,68.12,1244964,1827552,18
DEVYANI,2026-03,52.93,6747950,12747720,2
DEVYANI,2026-04,26.17,40247652,153783553,23
DEVYANI,2026-05,41.27,14700076,35616074,18
DGCONTENT,2026-03,85.28,32574,38198,2
DGCONTENT,2026-04,81.65,221229,270941,23
DGCONTENT,2026-05,70.74,147426,208405,18
DHAMPURSUG,2026-03,19.77,1704222,8621528,2
DHAMPURSUG,2026-04,25.68,7210753,28078374,23
DHAMPURSUG,2026-05,31.96,3513979,10996241,18
DHANBANK,2026-03,70.5,1987688,2819312,2
DHANBANK,2026-04,32.75,20686859,63168230,23
DHANBANK,2026-05,40.58,20940365,51607290,18
DHANUKA,2026-03,53.29,89470,167880,2
DHANUKA,2026-04,56.02,619016,1105006,23
DHANUKA,2026-05,17.76,838669,4723205,18
DHARMAJ,2026-03,70.16,82118,117046,2
DHARMAJ,2026-04,53.35,705941,1323234,23
DHARMAJ,2026-05,53.67,601185,1120170,18
DHRUV,2026-03,82.36,158468,192398,2
DHRUV,2026-04,62.98,285960,454037,23
DHRUV,2026-05,81.27,71544,88032,4
DHUNINV,2026-03,8.42,10314,122446,2
DHUNINV,2026-04,54.9,27886,50791,23
DHUNINV,2026-05,68.85,7846,11395,18
DIACABS,2026-03,58.71,1581378,2693502,2
DIACABS,2026-04,38.98,19783570,50751976,23
DIACABS,2026-05,30.28,48822374,161262050,18
DIAMINESQ,2026-03,40.93,23882,58342,2
DIAMINESQ,2026-04,35.73,129891,363492,23
DIAMINESQ,2026-05,59.89,99637,166366,18
DIAMONDYD,2026-03,59.65,213552,358030,2
DIAMONDYD,2026-04,52.8,442085,837270,23
DIAMONDYD,2026-05,37.89,945901,2496436,18
DICIND,2026-03,66.06,1374,2080,2
DICIND,2026-04,78.47,31838,40576,23
DICIND,2026-05,85.84,29106,33906,18
DIFFNKG,2026-03,56.89,147074,258530,2
DIFFNKG,2026-04,61.52,1374996,2234976,23
DIFFNKG,2026-05,49.13,1144407,2329112,18
DIGIDRIVE,2026-03,58.89,121764,206750,2
DIGIDRIVE,2026-04,66.51,623433,937383,23
DIGIDRIVE,2026-05,66.35,564138,850194,18
DIGISPICE,2026-03,54.99,161856,294350,2
DIGISPICE,2026-04,59.15,1582982,2676078,21
DIGITIDE,2026-03,54.77,795652,1452808,2
DIGITIDE,2026-04,33.03,5466422,16547622,23
DIGITIDE,2026-05,40.42,2878379,7121242,18
DIGJAMLMTD,2026-03,71.09,4504,6336,2
DIGJAMLMTD,2026-04,57.26,272042,475113,23
DIGJAMLMTD,2026-05,61.85,85999,139037,18
DISAQ,2026-04,69.61,1356,1948,10
DISAQ,2026-05,36.16,2010,5558,18
DISHTV,2026-03,71.41,16203306,22689352,2
DISHTV,2026-04,52.51,83612314,159235840,15
DIVGIITTS,2026-03,48.96,58780,120058,2
DIVGIITTS,2026-04,32.94,390246,1184588,23
DIVGIITTS,2026-05,36.92,368827,998905,18
DIVIDEND,2026-03,67.43,11784,17476,2
DIVIDEND,2026-04,82.28,281322,341910,23
DIVIDEND,2026-05,81.44,195198,239679,18
DIVISLAB,2026-03,49.58,488050,984458,2
DIVISLAB,2026-04,53.61,3957164,7380951,23
DIVISLAB,2026-05,54.13,3487813,6443566,18
DIVOPPBEES,2026-03,63.38,134556,212312,2
DIVOPPBEES,2026-04,58.92,603897,1025016,23
DIVOPPBEES,2026-05,68.5,695802,1015748,18
DIXON,2026-03,30.89,426142,1379428,2
DIXON,2026-04,25.82,4380108,16960739,23
DIXON,2026-05,26.72,3536514,13236013,18
DJML,2026-05,26.67,891304,3342137,7
DLF,2026-03,48.56,6226156,12821664,2
DLF,2026-04,49.45,55460094,112156499,23
DLF,2026-05,42.3,24857545,58763240,18
DLINKINDIA,2026-03,67.19,207906,309430,2
DLINKINDIA,2026-04,46.92,1421005,3028404,23
DLINKINDIA,2026-05,46.67,1427207,3058157,18
DMART,2026-03,52.79,1835466,3477006,2
DMART,2026-04,46.2,8680534,18788352,23
DMART,2026-05,48.14,3048526,6332813,18
DMCC,2026-03,66.43,52186,78554,2
DMCC,2026-04,36.16,1045329,2891055,23
DMCC,2026-05,46.64,1117114,2395402,18
DNAMEDIA,2026-03,91.37,265274,290328,2
DNAMEDIA,2026-04,70.18,1187902,1692738,23
DNAMEDIA,2026-05,76.55,650468,849764,18
DODLA,2026-03,56.53,62738,110972,2
DODLA,2026-04,52.88,535889,1013481,23
DODLA,2026-05,47.02,243357,517593,18
DOLATALGO,2026-03,47.68,421474,883930,2
DOLATALGO,2026-04,43.08,1984607,4606304,23
DOLATALGO,2026-05,49.28,2101262,4263789,18
DOLLAR,2026-03,59.09,150682,255018,2
DOLLAR,2026-04,14.46,2795362,19325626,23
DOLLAR,2026-05,51.81,1335314,2577212,18
DOLPHIN,2026-03,22.23,25674,115484,2
DOLPHIN,2026-04,34.31,427557,1246299,23
DOLPHIN,2026-05,37.01,269137,727113,18
DOMS,2026-03,43.31,104320,240880,2
DOMS,2026-04,40.02,399792,998996,23
DOMS,2026-05,37.25,380765,1022131,18
DONEAR,2026-03,60.29,98434,163274,2
DONEAR,2026-04,44.08,336161,762574,23
DONEAR,2026-05,58.41,280593,480364,18
DPABHUSHAN,2026-03,54.09,33536,62002,2
DPABHUSHAN,2026-04,42.06,240177,571090,23
DPABHUSHAN,2026-05,38.83,154559,398014,18
DPSCLTD,2026-03,72.14,414064,574004,2
DPSCLTD,2026-04,66.08,2658970,4023753,23
DPSCLTD,2026-05,66.01,1310193,1984890,12
DPWIRES,2026-03,65.87,44712,67878,2
DPWIRES,2026-04,25.98,511997,1970979,23
DPWIRES,2026-05,38.06,169258,444709,18
DRAGARWQ,2026-04,73.29,4933,6731,10
DRAGARWQ,2026-05,54.61,11454,20975,18
DRCSYSTEMS,2026-03,71.76,427488,595682,2
DRCSYSTEMS,2026-04,69.71,1269949,1821794,23
DRCSYSTEMS,2026-05,81.39,1188142,1459829,18
DREAMFOLKS,2026-03,50.38,482218,957168,2
DREAMFOLKS,2026-04,36.2,1682752,4648795,23
DREAMFOLKS,2026-05,53.12,691043,1300825,18
DREDGECORP,2026-03,43.25,204122,471994,2
DREDGECORP,2026-04,26.54,1582762,5964488,23
DREDGECORP,2026-05,13.22,2259992,17097129,18
DRREDDY,2026-03,46.46,1850334,3982884,2
DRREDDY,2026-04,42.8,29730628,69463838,23
DRREDDY,2026-05,51.46,23974835,46587798,18
DSFCL,2026-03,74.79,454740,608028,2
DSFCL,2026-04,80.42,2484166,3089181,23
DSFCL,2026-05,74.29,1443602,1943273,18
DSSL,2026-03,55.18,86278,156352,2
DSSL,2026-04,41.52,524952,1264210,23
DSSL,2026-05,24.06,1607516,6680845,18
DTIL,2026-03,88.61,16400,18508,2
DTIL,2026-04,63.69,44774,70303,23
DTIL,2026-05,59.21,63810,107772,18
DUCON,2026-03,70.8,1449220,2046978,2
DUCON,2026-04,68.93,4323258,6271646,8
DVL,2026-03,82.66,81262,98306,2
DVL,2026-04,59.34,164853,277816,23
DVL,2026-05,54.94,165338,300966,18
